YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,water_l1,avg_water_l1
2017,3,31,14,26,52,1237,NULL
2017,3,31,14,43,12,1233.88,NULL
2017,3,31,14,56,53,1230.24,NULL
2017,3,31,15,13,32,1233.17,NULL
2017,3,31,15,31,1,1232.88,NULL
2017,3,31,15,41,54,1238.81,NULL
2017,3,31,15,56,53,1246.21,NULL
2017,3,31,16,11,52,1249.36,NULL
2017,3,31,16,43,11,1251.19,NULL
2017,3,31,16,56,51,1259.87,NULL
2017,3,31,17,13,10,1261.8,NULL
2017,3,31,17,29,20,1261.86,NULL
2017,3,31,17,46,0,1266.83,NULL
2017,3,31,17,56,52,1271.26,NULL
2017,3,31,18,13,3,1269,NULL
2017,3,31,18,26,52,1269.52,NULL
2017,3,31,18,43,12,1269.67,NULL
2017,3,31,18,56,51,1270.19,NULL
2017,3,31,19,13,2,1275.2,NULL
2017,3,31,19,29,31,1271.72,NULL
2017,3,31,19,46,1,1271.16,NULL
2017,3,31,19,56,52,1264.49,NULL
2017,3,31,20,13,4,1264.05,NULL
2017,3,31,20,26,53,1266.21,NULL
2017,3,31,20,41,52,1270,NULL
2017,3,31,20,59,10,1258.46,NULL
2017,3,31,21,11,53,1261.81,NULL
2017,3,31,21,28,31,1259.57,NULL
2017,3,31,21,41,54,1256.27,NULL
2017,3,31,21,56,53,1257.68,NULL
2017,3,31,22,11,52,1260.31,NULL
2017,3,31,22,28,3,1255.65,NULL
2017,3,31,22,41,53,1255.38,NULL
2017,3,31,23,29,9,1257.57,NULL
2017,3,31,23,41,53,1261.7,NULL
2017,4,1,0,11,53,1255.84,NULL
2017,4,1,0,26,52,1252.34,NULL
2017,4,1,0,44,24,1247.4,NULL
2017,4,1,0,56,53,1250.3,NULL
2017,4,1,1,13,7,1244.73,NULL
2017,4,1,1,29,19,1246.67,NULL
2017,4,1,1,46,0,1239.33,NULL
2017,4,1,1,56,55,1240.75,NULL
2017,4,1,2,13,6,1237.41,NULL
2017,4,1,2,26,53,1241.46,NULL
2017,4,1,3,1,1,1238.44,NULL
2017,4,1,3,41,51,1245.44,NULL
2017,4,1,4,29,46,1247.77,NULL
2017,4,1,4,41,53,1254.67,NULL
2017,4,1,4,59,20,1256.44,NULL
2017,4,1,5,12,12,1249.4,NULL
2017,4,1,5,29,25,1255.51,NULL
2017,4,1,5,41,54,1262.99,NULL
2017,4,1,6,14,20,1263.57,NULL
2017,4,1,6,26,53,1263.08,NULL
2017,4,1,6,43,53,1261.98,NULL
2017,4,1,6,56,53,1263.06,NULL
2017,4,1,7,13,3,1266.69,NULL
2017,4,1,7,26,55,1260.39,NULL
2017,4,1,7,41,52,1258.05,NULL
2017,4,1,7,58,3,1251.95,NULL
2017,4,1,8,14,15,1247.5,NULL
2017,4,1,8,26,53,1247.53,NULL
2017,4,1,8,43,32,1244.17,NULL
2017,4,1,8,56,53,1239.29,NULL
2017,4,1,9,14,21,1241.07,NULL
2017,4,1,9,26,54,1234.13,NULL
2017,4,1,9,41,53,1236.46,NULL
2017,4,1,9,58,2,1239,NULL
2017,4,1,10,11,52,1238.52,NULL
2017,4,1,10,28,7,1242.29,NULL
2017,4,1,10,41,53,1233.49,NULL
2017,4,1,10,56,53,1240,NULL
2017,4,1,11,11,53,1240.99,NULL
2017,4,1,11,26,52,1239.36,NULL
2017,4,1,11,41,54,1241.1,NULL
2017,4,1,11,56,53,1244.38,NULL
2017,4,1,12,13,41,1239.94,NULL
2017,4,1,12,26,53,1238.24,NULL
2017,4,1,12,43,30,1236.61,NULL
2017,4,1,12,56,54,1234.78,NULL
2017,4,1,13,11,53,1244.55,NULL
2017,4,1,13,43,3,1231.18,NULL
2017,4,1,13,56,55,1238.97,NULL
2017,4,1,14,11,53,1227.27,NULL
2017,4,1,14,26,53,1232.09,NULL
2017,4,1,14,44,4,1227.42,NULL
2017,4,1,14,56,55,1230.05,NULL
2017,4,1,15,11,53,1232.42,NULL
2017,4,1,15,28,31,1234.34,NULL
2017,4,1,15,41,58,1229.47,NULL
2017,4,1,15,56,54,1236.94,NULL
2017,4,1,16,11,53,1236.04,NULL
2017,4,1,16,29,5,1242.13,NULL
2017,4,1,16,41,56,1249.79,NULL
2017,4,1,16,56,54,1252.06,NULL
2017,4,1,17,45,26,1255.13,NULL
2017,4,1,17,56,54,1257.56,NULL
2017,4,1,18,11,52,1257.99,NULL
2017,4,1,18,45,58,1264.82,NULL
2017,4,1,19,2,10,1268.07,NULL
2017,4,1,19,11,57,1264.58,NULL
2017,4,1,20,41,53,1269.23,NULL
2017,4,1,20,59,3,1268.81,NULL
2017,4,1,21,11,53,1262.69,NULL
2017,4,1,21,28,6,1259.88,NULL
2017,4,1,21,41,54,1262.37,NULL
2017,4,1,21,56,54,1263.28,NULL
2017,4,1,22,13,33,1262.26,NULL
2017,4,1,22,26,53,1260.78,NULL
2017,4,1,22,41,52,1264.56,NULL
2017,4,1,22,58,6,1263.98,NULL
2017,4,1,23,11,53,1260.56,NULL
2017,4,1,23,28,3,1261.63,NULL
2017,4,1,23,41,54,1261.56,NULL
2017,4,2,0,11,53,1264.92,NULL
2017,4,2,0,31,3,1260.83,NULL
2017,4,2,0,47,12,1266.1,NULL
2017,4,2,1,11,52,1265.51,NULL
2017,4,2,1,26,52,1261.31,NULL
2017,4,2,1,43,3,1264.88,NULL
2017,4,2,1,56,54,1261.78,NULL
2017,4,2,2,11,53,1263.6,NULL
2017,4,2,2,44,15,1260.54,NULL
2017,4,2,2,56,52,1254.22,NULL
2017,4,2,3,13,3,1261.7,NULL
2017,4,2,3,26,56,1255.82,NULL
